scram discharge tank,,,急停排洩槽,,,,,0,0,,,
scram discharge volume line,,,急停排洩容量管线,,,,,0,0,,,
scram drive,,,[矿业] 扒矿巷道,,,,,0,0,,,
scram dump tank,,,急停堆排放箱,,,,,0,0,,,
scram exhaust valve,,,急停排气阀,,,,,0,0,,,
scram function curve,,,急停作用曲线,,,,,0,0,,,
scram initiation,,,起紧急停堆，触发紧急停堆,,,,,0,0,,,
scram initiation spring,,,发紧急停堆的弹簧,,,,,0,0,,,
scram inlet,,,急停进水,,,,,0,0,,,
scram inlet valve,,,急停进水阀,,,,,0,0,,,
scram inserting time,,,急停插入时间,,,,,0,0,,,
scram latch,,,急停闩锁,,,,,0,0,,,
scram limit(value),,,急停堆极限值,,,,,0,0,,,
scram magnet,,,急停堆磁铁,,,,,0,0,,,
scram mechanism,,,急停堆机构,,,,,0,0,,,
scram outlet,,,急停出水,,,,,0,0,,,
scram outlet valve,,,急停出水阀,,,,,0,0,,,
scram pilot valve,,,急停引导阀,,,,,0,0,,,
scram pilot valve assembly,,,急停引导阀装置,,,,,0,0,,,
scram pilot valve deenergization,,,急停引导阀失能,,,,,0,0,,,
scram pilot valve solenoid,,,急停引导阀螺线管,,,,,0,0,,,
scram position,,,"关断位置,紧急刹车[故障停车]位置",,,,,0,0,,,
scram power,,,急停本领；急停功率,,,,,0,0,,,
scram protection,,,快速故障防护,,,,,0,0,,,
scram provision,,,急停准备,,,,,0,0,,,
scram rate,,,速停堆速度,,,,,0,0,,,
scram reliability,,,急停可靠性,,,,,0,0,,,
scram reset switch,,,急停重定开关,,,,,0,0,,,
scram rod,,,快速停堆棒,,,,,0,0,,,
scram rod actuator,,,un. 应急停堆棒操纵机构\n[网络] 紧急停堆棒操纵机构,,,,,0,0,,,
scram rods,,,急停桿,,,,,0,0,,,
scram runback,,,急停堆复位,,,,,0,0,,,
scram setpoint,,,急停设定点,,,,,0,0,,,
scram setting,,,急停设定,,,,,0,0,,,
scram shape curve bol,,,初始急停形状曲线,,,,,0,0,,,
scram signal,,,速停堆信号，紧急停机信号，紧急停堆信号,,,,,0,0,,,
scram speed,,,急停速度,,,,,0,0,,,
scram stroke time,,,急停过程时间,,,,,0,0,,,
scram switch,,,急停按钮,,,,,0,0,,,
scram system,,,快速停堆系统,,,,,0,0,,,
scram tank,,,急停堆蓄压箱,,,,,0,0,,,
scram testing,,,急停试验,,,,,0,0,,,
scram time,,,控制棒]快插时间，紧急停堆时间,,,,,0,0,,,
scram trip point,,,急停跳脱点,,,,,0,0,,,
scram trip setting,,,急停跳脱设定,,,,,0,0,,,
scram valve,,,急停堆阀，快关阀,,,,,0,0,,,
scram water accumulator,,,急停蓄水器,,,,,0,0,,,
scram water valve,,,急停堆水阀,,,,,0,0,,,
scram worth,,,急停值,,,,,0,0,,,
scram-aiding spring,,,急停棒弹簧,,,,,0,0,,,
scram-down rod,,,[网络] 安全棒,,,,,0,0,,,
scramasax,"'skræmә,sæks",,n. (早期撒克逊人、法兰克人用作武器或猎刀的)大刀,,,,,0,0,s:scramasaxes,,
scramasaxes,,,[网络] 。。,,,,,0,0,0:scramasax/1:s,,
scramb,skræm,,vt.<英方>用指甲(或爪子)抓,,,,,0,0,,,
scramblase,,,[网络] 混杂酶；拼接酶；转运酶,,,,,0,0,,,
