Panalgin,,,氢氮卓乙酯,,,,,0,0,,,
panallel test,,,[数] 替换检定,,,,,0,0,,,
panallergen,,,[网络] 泛变应原；此泛致敏原,,,,,0,0,,,
panallotriomorphic texture,,,"全他形结构, 全他形组织",,,,,0,0,,,
Panalmine,,,"维生素B12,氰钴胺,羟钴胺,硝钴胺,氯钴胺,羟钴胺",,,,,0,0,,,
panalpina,,,n. 瑞士泛亚班拿（运输公司名）,,,,,0,0,,,
panalyzor,,,全景分析仪,,,,,0,0,,,
panam,,,abbr. Pan-American World Airways <美国>泛美世界航空公司,,,,,0,0,,,
Panama,.pænә'mɑ:,n. a republic on the Isthmus of Panama; achieved independence from Colombia in 1903,"n. 巴拿马, 巴拿马城",,,,,8319,0,s:panamas,,
Panama (hat),,,[亦作 p-]；巴拿马草帽(用中南美洲产的巴拿马草叶子编织而成)；类似的草帽,,,,,0,0,,,
Panama bark,,,[医] 皂树皮,,,,,0,0,,,
Panama Basin,,,[地名] 巴拿马海盆 ( 太平洋 ),,,,,0,0,,,
Panama Bureau of Shipping,,,巴拿马航运局,,,,,0,0,,,
Panama Canal,,,n. 【旅】巴拿马运河\n[网络] 巴拿马大运河；巴拿马--巴拿马运河；巴拿马运河巴拿马中南美,,,,,0,0,s:panama canals,,
panama canal cargo declaration,,,n. 巴拿马运河货运申报单,,,,,0,0,,,
Panama canal chock,,,闭式导缆孔,,,,,0,0,,,
Panama Canal Department,,,巴拿马运河部,,,,,0,0,,,
Panama Canal fair leader,,,[网络] 闭式导缆孔；闭式导缆器,,,,,0,0,,,
Panama Canal fairleader,,,[网络] 闭式导缆孔闭式导缆器,,,,,0,0,,,
panama canal measurement,,,[经] 巴拿马运河丈量制,,,,,0,0,,,
Panama Canal Net Tonnage,,,巴拿马运河净吨,,,,,0,0,,,
Panama Canal regulation,,,[网络] 巴拿马运河规则,,,,,0,0,,,
Panama canal signalling light,,,巴拿马运河信号灯,,,,,0,0,,,
Panama Canal Special Tonnage Certificate,,,《巴拿马运河吨位证书》,,,,,0,0,,,
Panama canal tonnage,,,巴拿马运河吨位,,,,,0,0,,,
Panama Canal tonnage certificate,,,巴拿马运河吨位证书,,,,,0,0,,,
Panama Canal Zone,,,[网络] 巴拿马运河区；巴拿马运河区域；巴拿马运河地域,,,,,0,0,s:panama canal zones,,
Panama Canal Zone Standard Time,,,巴拿马运河区标准时间,,,,,0,0,,,
panama canal zones,,,巴拿马运河区域,,,,,0,0,0:panama canal zone/1:s,,
panama canals,,,巴拿马运河（穿过巴拿马地峡，接通太平洋和大西洋）,,,,,0,0,0:panama canal/1:s,,
panama canvas,,,巴拿马帆布,,,,,0,0,,,
Panama chock,,,巴拿马运河导缆孔,,,,,0,0,,,
panama cities,,,巴拿马城（巴拿马首都）,,,,,0,0,0:panama city/1:s,,
Panama City,,,巴拿马城（巴拿马首都）,,,,,0,0,s:panama cities,,
Panama disease,,,[网络] 巴拿马病；香蕉黄叶病,,,,,0,0,,,
Panama disease of banana,,,香蕉萎蔫病,,,,,0,0,,,
panama fairlead,,,"巴拿马导缆孔；密闭索道, 巴拿马导索孔",,,,,0,0,,,
Panama fairleader,,,[网络] 闭式导缆孔,,,,,0,0,,,
Panama fever,,,"[医] 巴拿马热, 恰格尔斯热(一种恶性疟)",,,,,0,0,,,
Panama Fracture Zone,,,[地名] 巴拿马断裂带 ( 太平洋 ),,,,,0,0,,,
panama hat,ˈpænəmɑ: hæt,,n. 巴拿马（式）草帽,,,,,0,0,s:panama hats,,
Panama hat palm,,,[网络] 巴拿马帽棕榈,,,,,0,0,,,
Panama hat plant,,,【植物】巴拿马草(Carludovica palmata) [亦作 Panama-hat palm],,,,,0,0,,,
Panama hats,,,[网络] 巴拿马帽子,,,,,0,0,0:panama hat/1:s,,
Panama larvicide,,,[医] 杀按蚊幼虫剂,,,,,0,0,,,
Panama lead,,,[网络] 巴拿马运河导缆孔；巴拿马运河导索器,,,,,0,0,,,
Panama leader,,,[网络] 巴拿马运河闭式拖缆孔,,,,,0,0,,,
Panama Red,,,(毒性极强的)巴拿马红(色大)麻(烈性大麻) [亦作Panama],,,,,0,0,,,
Panama redwood,,,[网络] 巴拿马红木,,,,,0,0,s:panama redwoods,,
Panama redwood tree,,,[网络] 巴拿马红木树,,,,,0,0,s:panama redwood trees,,
panama redwood trees,,,[网络] 巴拿马红木树\n(panama redwood tree 的复数),,,,,0,0,0:panama redwood tree/1:s,,
panama redwoods,,,[网络] 巴拿马红木\n(panama redwood 的复数),,,,,0,0,0:panama redwood/1:s,,
panama rubber,,,美洲橡胶,,,,,0,0,,,
panama rubber tree,,,[林] 橡胶树,,,,,0,0,,,
panama sheep,,,巴拿马绵羊(美国产),,,,,0,0,,,
panama suiting,,,巴拿马西服呢,,,,,0,0,,,
Panama tolls,,,[网络] 巴拿马运河通过税,,,,,0,0,,,
Panama towing pipe,,,[网络] 巴拿马运河拖缆孔,,,,,0,0,,,
Panama tree,,,[网络] 巴拿马树,,,,,0,0,s:panama trees,,
panama trees,,,[网络] 巴拿马树\n(panama tree 的复数),,,,,0,0,0:panama tree/1:s,,
Panama weave,,,[网络] 巴拿马组织；小花样的方块组织,,,,,0,0,,,
panama zephyr,,,巴拿马提花条子布(英国制),,,,,0,0,,,
"panama, gulf of",,, [地名] [巴拿马] 巴拿马湾,,,,,0,0,,,
"panama, isthmus of",,, [地名] [巴拿马] 巴拿马地峡,,,,,0,0,,,
panama-america,,,[网络] 巴美日报；巴美报,,,,,0,0,,,
panama-hat plant,,,[网络] 巴拿马草,,,,,0,0,,,
panama-pacific,,,[网络] 太平洋；巴拿马,,,,,0,0,,,
Panaman,,,n. 巴拿马人,,,,,0,0,,,
Panamanian,.pænә'meiniәn,n. a native or inhabitant of Panama\na. of or relating to or characteristic of Panama or its people,a. 巴拿马的\nn. 巴拿马人,j:76/n:24,,,,17808,15895,s:panamanians,,
panamanian balbos,,,[经] 巴拿马巴波亚,,,,,0,0,,,
Panamanian capital,,,[网络] 巴拿马首都,,,,,0,0,s:panamanian capitals,,
panamanian capitals,,,[网络] 巴拿马首都\n(panamanian capital 的复数),,,,,0,0,0:panamanian capital/1:s,,
Panamanian flag,,,[网络] 巴拿马国旗,,,,,0,0,,,
Panamanian monetary unit,,,[网络] 巴拿马货币单位,,,,,0,0,s:panamanian monetary units,,
panamanian monetary units,,,[网络] 巴拿马货币单位\n(panamanian monetary unit 的复数),,,,,0,0,0:panamanian monetary unit/1:s,,
Panamanianness,,,[网络] 巴拿马人,,,,,0,0,,,
Panamanians,",pænə'meinjən",n. a native or inhabitant of Panama,"a. , n. Panama的变形",,,,,0,0,0:panamanian/1:s,,
panamarenko,,,[网络] 帕纳马伦科；帕纳马连科；帕纳玛朗科,,,,,0,0,s:panamarenkoes,,
panamarenkoes,,,[网络] 帕纳马伦科；帕纳马连科；帕纳玛朗科\n(panamarenko 的复数),,,,,0,0,0:panamarenko/1:s,,
Panamas,,plural of Panama\nn. a republic on the Isthmus of Panama; achieved independence from Colombia in 1903,"(Panama 的复数) n. 巴拿马, 巴拿马城",,,,,0,0,0:panama/1:s,,
Panamax,,,n. 巴拿马运河大型船,,,,,0,0,,,
Panamax bulk carrier,,,巴拿马型散货船,,,,,0,0,,,
Panamax carrier,,,[网络] 巴拿马型船,,,,,0,0,,,
panamax ship,,,巴拿马极限型船,,,,,0,0,,,
Panamax size vessel,,,能够通过巴拿马运河的最大船舶；巴拿马型(约6万吨级船),,,,,0,0,,,
panamco,,,[网络] 巴拿马,,,,,0,0,,,
panamena,,,[网络] 怕拉梅拉,,,,,0,0,,,
panamense,,,[网络] 巴拿马底灯鱼,,,,,0,0,,,
panamenses,,,巴拿马亚种\n(panamensis 的复数),,,,,0,0,0:panamensis/1:s,,
panamensis,,,巴拿马亚种,,,,,0,0,s:panamenses,,
panamensis Bentham Swertia,,,"[医] 巴拿马苦皮树, 洪都拉斯苦树皮",,,,,0,0,,,
PANAMERICA,,,泛美,,,,,0,0,,,
panamerican,,,adj. 全美洲(各国)的\n[网络] 美国泛美；种子公司和泛美；美国的泛美,,,,,0,0,,,
panamericana,,,[网络] 泛美；泛美公路；泛美广播电台,,,,,0,0,,,
panamesine,,,[网络] 帕那美新,,,,,0,0,,,
panametrics,,,[网络] 美国的泛美；美国泛美公司；美国巴纳,,,,,0,0,,,
panamic region,,,巴拿马区,,,,,0,0,,,
panamica,,,[网络] 巴拿马,,,,,0,0,s:panamicas,,
panamicas,,,[网络] 巴拿马\n(panamica 的复数),,,,,0,0,0:panamica/1:s,,
panamides,,,[网络] piramides,,,,,0,0,,,
panamiga,,,[网络] 巴拿马,,,,,0,0,s:panamigas,,
panamigas,,,[网络] 巴拿马\n(panamiga 的复数),,,,,0,0,0:panamiga/1:s,,
Panamine,,,异红豆碱,,,,,0,0,,,
panamint,,,[网络] 帕纳明特；潘纳敏特印第安人,,,,,0,0,,,
panamint mountains,,, 帕纳明特岭(位于美国加利福尼亚州东部，其最高峰高度为 3365 米),,,,,0,0,,,
Panamint Mountains (Range),,,帕纳明特岭(位于美国加利福尼亚州东部，其最高峰高度为 3365 米),,,,,0,0,,,
panamint ra.,,,帕纳民岭,,,,,0,0,,,
Panamint Range,,,[地名] 帕纳明特岭 ( 美 ),,,,,0,0,,,
panamsat,,,[网络] 泛美卫星公司；泛美航空；泛美上海卫星电视公司,,,,,0,0,s:panamsats,,
panamsats,,,[网络] 泛美卫星公司；泛美航空；泛美上海卫星电视公司\n(panamsat 的复数),,,,,0,0,0:panamsat/1:s,,
Panamérican,,,[地名] 泛亚美利加 ( 尼加 ),,,,,0,0,,,
Pananag,,,[地名] 帕纳纳格 ( 菲 ),,,,,0,0,,,
panang,,,[网络] 咖喱；泰式咖哩；彭坑,,,,,0,0,,,
panangiitis,'pænændʒi'aitis,,"全血管炎, 血管诸层炎",,,,,0,0,,,
Panangin,,,潘南金,,,,,0,0,,,
panangiogram,,,全血管造影片,,,,,0,0,,,
panangiography,,,全血管造影,,,,,0,0,,,
Pananglican,,,adj. 泛英国国教主义的,,,,,0,0,,,
"Pananim, I.",,,[地名] 帕纳宁岛 ( 巴西 ),,,,,0,0,,,
panans,,,[网络] 帕纳斯,,,,,0,0,,,
pananthropism,,,[网络] 泛性主义,,,,,0,0,,,
pananxiety,,,泛焦虑症,,,,,0,0,,,
Panao,,,[地名] 帕瑙 ( 秘 ),,,,,0,0,,,
Panaon I.,,,[地名] 帕纳翁岛 ( 菲 ),,,,,0,0,,,
panapa,,, [人名] 帕纳帕,,,,,0,0,,,
Panapak,'pænәpæk,,波纹填料,,,,,0,0,,,
panaperturate,pæ'næpәtjureit,,具散萌发孔的,,,,,0,0,,,
Panaplate,'pænәpleit,,敌敌畏,,,,,0,0,,,
Panaplex,'pænәpleks,,帕纳普莱克斯数字板,,,,,0,0,,,
Panapompom I.,,,[地名] 帕纳波姆波姆岛 ( 巴布 ),,,,,0,0,,,
panaquilon,",pænә'kwilɔn",,人参奎酮,,,,,0,0,,,
Panar,,,[地名] 伯讷尔河 ( 印 ),,,,,0,0,,,
