automatic cancellation,,,自动取消,,,,,0,0,,,
Automatic Cancellation Charter,,,[网络] 自动解除租约,,,,,0,0,,,
automatic cannon vehicle,,,自动加农砲车,,,,,0,0,,,
automatic cannon vehicle (acv),,,自动加农砲车,,,,,0,0,,,
automatic cap,,,自动瓶盖,,,,,0,0,,,
automatic capping machine,,,[机] 自动压盖机,,,,,0,0,,,
automatic car classification,,,车辆自动编组,,,,,0,0,,,
automatic car coupler,,,自动车钩,,,,,0,0,,,
automatic car identification,,,车辆自动识别(装置),,,,,0,0,,,
automatic car identification system,,,[车辆] 车辆自动识别系统,,,,,0,0,,,
automatic car stop,,,自动停车器,,,,,0,0,,,
automatic carburetor,,,自动气化器,,,,,0,0,,,
automatic card mounting apparatus,,,自动包针布机,,,,,0,0,,,
automatic card programmed rolling,,,穿孔带程序控制自动轧机,,,,,0,0,,,
automatic card programmed rolling mill,,,程序控制自动轧机,,,,,0,0,,,
automatic card stripping,,,梳棉机自动抄针,,,,,0,0,,,
automatic carding lock,,,自动活闸,,,,,0,0,,,
automatic carriage,,,[计] 自动托架\n[经] 自动运输装置,,,,,0,0,,,
automatic carriage return,,,自动回车,,,,,0,0,,,
automatic carriagt,,,自动输送架,,,,,0,0,,,
automatic carrier,,,"自动跑车,自动运输车",,,,,0,0,,,
automatic carrier control,,,"载波自动控制, 自动载波控制",,,,,0,0,,,
automatic carrier landing system,,,舰载自动降落系统,,,,,0,0,,,
automatic carrier landing system (acls),,,自动航舰着陆系统,,,,,0,0,,,
automatic carry,,,(计算机)自动进位,,,,,0,0,,,
automatic cartography,,,自动化地图制图,,,,,0,0,,,
automatic case packer,,,自动装箱机,,,,,0,0,,,
automatic cash paying,,,[金融] 自动现金支付机,,,,,0,0,,,
automatic cashier,,,现金自动出纳机,,,,,0,0,,,
automatic casing hanger,,,自动套管挂,,,,,0,0,,,
automatic cassette changer,,,自动卡式变换器,,,,,0,0,,,
automatic casting machine,,,自动化铸造机,,,,,0,0,,,
automatic catalogue search,,,自动目录搜索,,,,,0,0,,,
automatic catch,,,自动挡,,,,,0,0,,,
automatic catcher,,,(镀锡机的)自动收板装置,,,,,0,0,,,
automatic cathead,,,[油气] 自动猫头,,,,,0,0,,,
automatic cation exchange unit,,,自动阳离子交换设备,,,,,0,0,,,
automatic cattle feeder,,,牛自动餵料器,,,,,0,0,,,
automatic ceiling light projector,,,"自动云幕灯投射器, 自动云幂灯投射器",,,,,0,0,,,
automatic celestial navigation,,,自动天文导航,,,,,0,0,,,
automatic celestial navigator,ˌɔ:təˈmætik səˈlestʃəl ˈnævɪˌgeɪtə,, 自动天体导航仪,,,,,0,0,,,
automatic celestialnavigator,,,自动天体导航仪,,,,,0,0,,,
automatic cell counter,,,自动细胞计数器,,,,,0,0,,,
automatic center,,,[医] 自动中枢,,,,,0,0,,,
automatic center punch,,,[机] 自动冲,,,,,0,0,,,
automatic centering,,,自动对中,,,,,0,0,,,
automatic central alarm system,,,中央自动告警系统,,,,,0,0,,,
automatic central grease station,,,自动油脂中心站,,,,,0,0,,,
automatic central office,,,自动电话局,,,,,0,0,,,
automatic centralized grease system,,,自动油脂集中润滑系统,,,,,0,0,,,
automatic centrifuge,,,[化] 自动离心机,,,,,0,0,,,
automatic centring device,,,[机] 自动对中装置,,,,,0,0,,,
automatic change-over,,,自动转换开关\n自动转向机构,,,,,0,0,,,
automatic changeover,,,自动转换开关,,,,,0,0,,,
automatic changeover switch,,,"自动换向开关, 自动切换开关",,,,,0,0,,,
automatic channel assignment,,,[网络] 自动信道分配,,,,,0,0,,,
automatic channel switch,,,[电子] 自动频道开关,,,,,0,0,,,
automatic character generation,,,自动化字符产生,,,,,0,0,,,
automatic character recognition,,,[电] 自动字符识别,,,,,0,0,,,
automatic charge,,,自动充电,,,,,0,0,,,
automatic charge indication,,,自动充电指示,,,,,0,0,,,
automatic charging,,,自动加料,,,,,0,0,,,
automatic charging equipment,,,[机] 自动加料设备,,,,,0,0,,,
automatic chart-line follower,,,自动曲线复制仪,,,,,0,0,,,
automatic charting,,,自动制图,,,,,0,0,,,
automatic check,,,[计] 自动校验,,,,,0,0,,,
automatic check and readyness equipment,,,动检查及待命装置,,,,,0,0,,,
automatic check interrupt,,,[计] 自动校验中断,,,,,0,0,,,
automatic check system,,,[计] 自动校验系统,,,,,0,0,,,
automatic check valve,,,自动止回阀,,,,,0,0,,,
automatic check(ing),,,[计] 自动校验,,,,,0,0,,,
automatic check-off,,,[经] 自动扣除,,,,,0,0,,,
automatic check-out,,,自动检出,,,,,0,0,,,
automatic check-out and evaluation system,,,自动检查和鉴定系统,,,,,0,0,,,
automatic check-out and readiness equipment,,,自动检查与发射设备,,,,,0,0,,,
automatic check-out system,,,动效验系统,,,,,0,0,,,
automatic check-point restart,,,自动检查点再启动,,,,,0,0,,,
automatic checker,,,自动检验器,,,,,0,0,,,
automatic checking,,,[化] 自动检验,,,,,0,0,,,
automatic checking and sorting machine,,,[通信] 自动检验分选机,,,,,0,0,,,
automatic checking of label,,,[计] 标号自动检查,,,,,0,0,,,
automatic checkout,,,自动检出,,,,,0,0,,,
automatic checkout and evaluation system,,,自动检测和估算系统,,,,,0,0,,,
automatic checkout and readiness equipment,,,自动检查和准备装置,,,,,0,0,,,
automatic checkout and recording equipment,,,动检查及记录装置,,,,,0,0,,,
automatic checkout device,,,[化] 自动检测装置,,,,,0,0,,,
automatic checkout equipment,,,自动检测设备,,,,,0,0,,,
automatic checkout system,,,[计] 自动校验系统,,,,,0,0,,,
automatic checkout test equipment,,,自动检验设备,,,,,0,0,,,
automatic cheese winding machine,,,[纺] 自动络筒机,,,,,0,0,,,
automatic chemical addition and control system,,,自动加药系统,,,,,0,0,,,
automatic chemical cleaning system,,,自动化学酸槽洗净系统,,,,,0,0,,,
automatic chemical monitoring and control device,,,动化学监控装置,,,,,0,0,,,
automatic chemistry,,,[化工] 自动化化学,,,,,0,0,,,
automatic chest-radiography stand,,,自动胸片摄影架,,,,,0,0,,,
automatic Chinese drug dispenser,,,[中医] 中药调制机,,,,,0,0,,,
automatic Chinese word segmentation,,,汉语自动切分,,,,,0,0,,,
automatic choke,ˌɔ:təˈmætik tʃəuk,, 自动阻气门,,,,,0,0,s:automatic chokes,,
automatic choke to manifold pipe,,,自动阻气门至歧管连接管,,,,,0,0,,,
automatic chokes,,,automatic choke\n【机械学】自动阻气塞门,,,,,0,0,0:automatic choke/1:s,,
automatic cholera,,,[医] 自动症性霍乱(伴有不自主的运动),,,,,0,0,,,
automatic chorea,,,[医] 自动性舞蹈病,,,,,0,0,,,
automatic chroma control,,,[电] 自动彩色控制,,,,,0,0,,,
automatic chroma controlset,,,自动色度电平控制调定,,,,,0,0,,,
automatic chromatogram scanner,,,自动色谱扫描器,,,,,0,0,,,
automatic chrominaace control,,,[电] 自动彩色控制,,,,,0,0,,,
automatic chrominance control,,,[电] 自动色彩控制,,,,,0,0,,,
automatic chuck,,,自动卡盘,,,,,0,0,,,
automatic chucking lathe,,,自动卡盘车床,,,,,0,0,,,
automatic chucking machine,,,自动卡盘车床,,,,,0,0,,,
automatic chute,,,"自动装料槽,自动输矿槽",,,,,0,0,,,
automatic chute feeding system,,,自动管道喂给系统,,,,,0,0,,,
automatic circuit,,,自动电路,,,,,0,0,,,
automatic circuit analyser,,,自动电路分析器,,,,,0,0,,,
automatic circuit analyser and verifier,,,[网络] 自动电路分析器和检验器,,,,,0,0,,,
automatic circuit analysis program,,,自动电路分析程序,,,,,0,0,,,
automatic circuit analyzer,,,动电路分析器,,,,,0,0,,,
automatic circuit analyzer and verifier,,,自动电路分析器及检验器,,,,,0,0,,,
automatic circuit board card tester,,,自动电路板插件测试机,,,,,0,0,,,
automatic circuit breaker,,,[电] 自动断路器,,,,,0,0,,,
automatic circuit exchange,,,"自动电路交换，自动电路交换机, 自动电路交换",,,,,0,0,,,
automatic circuit layout,,,自动电路布局,,,,,0,0,,,
automatic circuit recloser,,,动重合闸装置,,,,,0,0,,,
automatic circuit switching,,,动电路转换，电路自动切换,,,,,0,0,,,
automatic circuit tester,,,自动电路测试器,,,,,0,0,,,
automatic circuit-recloser,,,重合器,,,,,0,0,,,
automatic circular knitter,,,(全)自动圆型针织机,,,,,0,0,,,
automatic circular saw sharpener,,,[木] 自动圆锯片磨齿机,,,,,0,0,,,
automatic circular winder,,,圆型自动络纱机,,,,,0,0,,,
automatic circulation system,,,自动化流通系统,,,,,0,0,,,
automatic ckeck-out and readiness equipment,,,[网络] 自动检查和准备系统；自动检查和预备系统,,,,,0,0,,,
automatic clamping device,,,自动夹紧装置,,,,,0,0,,,
automatic classification,,,自动分类,,,,,0,0,,,
automatic classification yard,,,自动化调车场,,,,,0,0,,,
automatic classifier,,,自动分类机,,,,,0,0,,,
automatic cleaner,,,自动清洁器,,,,,0,0,,,
automatic cleaning,,,动清洗,,,,,0,0,,,
automatic cleaning strainer,ˌɔ:təˈmætik ˈkli:nɪŋ ˈstreɪnə,, 自动清洗过滤器,,,,,0,0,,,
automatic clear,,,自动清除,,,,,0,0,,,
automatic clearing,,,[电] 自动清除,,,,,0,0,,,
automatic clearing apparatus,,,自动清除[复原]装置,,,,,0,0,,,
Automatic Clearing House,,,自动清算所,,,,,0,0,,,
automatic clearing indicator,,,自动折线[自动卸货]指示器,,,,,0,0,,,
automatic clearing key,,,报终信号自动键,,,,,0,0,,,
automatic clearing signal,,,[电] 自动清除讯号,,,,,0,0,,,
automatic clip,,,自动矿车连接钩,,,,,0,0,,,
automatic clipper,,,自动剪板机,,,,,0,0,,,
automatic clock switch,,,自动计时开关,,,,,0,0,,,
automatic clocking circuit,,,自动计时电路,,,,,0,0,,,
automatic closed-loop control,,,闭环自动控制,,,,,0,0,,,
automatic closed-loop control system,,,[自] 闭环自动控制系统,,,,,0,0,,,
automatic closed-loop process control system,,,[自] 闭环过程自动控制系统,,,,,0,0,,,
automatic closed-loop system,,,动闭环系统,,,,,0,0,,,
automatic closer,,,自动合箱机,,,,,0,0,,,
automatic closing,,,自动关闭,,,,,0,0,,,
automatic closing appliance,,,自动闭锁装置,,,,,0,0,,,
automatic closing door,,,自关风门,,,,,0,0,,,
automatic closing gear,,,动闭合机构,,,,,0,0,,,
automatic closing machine,,,自动封罐机,,,,,0,0,,,
automatic closing-in of reserve pow- er supply,,,备用电源自投,,,,,0,0,,,
automatic closure machine,,,自动封缄机,,,,,0,0,,,
automatic cluster remover,,,集乳座自动移开器,,,,,0,0,,,
automatic clutch,,,自动离合器,,,,,0,0,,,
automatic coal sampling device,,,自动煤炭抽样装置,,,,,0,0,,,
automatic coal weigher,,,动煤磅,,,,,0,0,,,
automatic coating machine,ˌɔ:təˈmætik ˈkəʊtɪŋ məˈʃi:n,, 自动涂敷机,,,,,0,0,,,
automatic cocking lever,,,(火炮)自动板机,,,,,0,0,,,
automatic code,,,[计] 自动代码,,,,,0,0,,,
automatic code machine,,,自动编码机,,,,,0,0,,,
automatic code translation,,,自动译码,,,,,0,0,,,
automatic code translator (act),,,ACT自动译码系统,,,,,0,0,,,
automatic coding,,,[计] 自动编码,,,,,0,0,,,
automatic coding language,,,[计] 自动编码语言,,,,,0,0,,,
automatic coding machine,,,动编码机,,,,,0,0,,,
automatic coding system,,,自动编码系统,,,,,0,0,,,
automatic coil winding,,,自动绕线,,,,,0,0,,,
automatic coil winding machine,,,自动绕线机,,,,,0,0,,,
automatic coiling of tape,,,动卷带，自动绕带,,,,,0,0,,,
automatic coin telephone system,,,自动投币电话系统,,,,,0,0,,,
automatic coining,,,自动精压,,,,,0,0,,,
automatic cold former,,,自动冷锻机,,,,,0,0,,,
automatic collection,,,自动收集,,,,,0,0,,,
automatic collector,,,自动收集器,,,,,0,0,,,
automatic collision avoidance system,,,自动避碰系统,,,,,0,0,,,
automatic colo(u)r control circuit,,,[电视] 色彩自动控制电路,,,,,0,0,,,
automatic color control,,,[电] 自动彩色控制,,,,,0,0,,,
automatic color control circuit,,,自动彩色控制电路,,,,,0,0,,,
automatic color dispensing machine,,,自动混色机,,,,,0,0,,,
automatic color purifier,,,[电] 自动色彩纯化器,,,,,0,0,,,
automatic colorimeter,,,自动比色计,,,,,0,0,,,
automatic colour circuitry,,,自动彩色信号电路,,,,,0,0,,,
automatic colour control,,,"【电子学】自动彩色控制 [亦作 automatic chroma control, automatic chrominance control]",,,,,0,0,,,
automatic colour correction,,,自动彩色校正,,,,,0,0,,,
automatic colour purifier,,,自动色纯[纯色]器,,,,,0,0,,,
automatic colour separation device,,,自动分色机,,,,,0,0,,,
automatic combusion control,,,自动燃烧控制,,,,,0,0,,,
automatic combustion control,,,[机] 自动燃烧控制,,,,,0,0,,,
automatic combustion control (acc),,,自动燃烧控制,,,,,0,0,,,
automatic combustion control sys- tem,,,燃烧自动控制系统,,,,,0,0,,,
automatic combustion regulating system,,,[网络] 燃烧自动调节系统；燃烧自动调节装置,,,,,0,0,,,
automatic combustion regulation,,,燃烧自动调节,,,,,0,0,,,
automatic combustion system,,,[网络] 自动燃烧系统,,,,,0,0,,,
automatic comet-seeker,,,自动寻彗镜,,,,,0,0,,,
automatic command,,,自动指令,,,,,0,0,,,
automatic commitment dump,,,[计] 自动交付转储,,,,,0,0,,,
automatic communication,,,自动通信,,,,,0,0,,,
automatic communication and message processing system,,,自动通信和信息处理系统,,,,,0,0,,,
automatic communication device,,,[通信] 自动通信装置,,,,,0,0,,,
automatic communication monitor,,,"自动通信监听器, 自动通讯监视器",,,,,0,0,,,
automatic compactometer,,,压实度自动检测装置,,,,,0,0,,,
automatic compensated level,,,[测] 自动补偿水准仪,,,,,0,0,,,
automatic compensation,,,自动补偿,,,,,0,0,,,
automatic compensator,,,自动补偿装置,,,,,0,0,,,
automatic compilation,,,自动编译,,,,,0,0,,,
automatic component assembly,,,元件自动装配,,,,,0,0,,,
automatic component assembly system,,,[机] 自动化元件装配系统,,,,,0,0,,,
automatic composing machine,,,自动排字机,,,,,0,0,,,
automatic comprehensive insurance,,,[经] 自动综合保险,,,,,0,0,,,
