single account,,,个人账户,,,,,0,0,,,
single account system,,,[经] (在制品)单帐户制,,,,,0,0,,,
single accounting system,,,[会计] 单一帐户制度,,,,,0,0,,,
single accumulator system,,,单存储器系统;单累加器系统,,,,,0,0,,,
single acrostic,,,首字母离合诗(各行首词的第一个字母可组合成单词的诗),,,,,0,0,,,
single act,,,独角戏；独角戏演员,,,,,0,0,,,
single acting,,,[机] 单动式,,,,,0,0,,,
single acting (pneumatic) cylinder,,,单动气压缸,,,,,0,0,,,
single acting air pump,,,[网络] 单作用式空气泵,,,,,0,0,,,
single acting atomizer,,,un. 单动式弥雾机\n[网络] 单动式喷雾机,,,,,0,0,,,
single acting centrifugal pump,,,单动式离心泵,,,,,0,0,,,
single acting compressor,,,[化] 单作用压缩机,,,,,0,0,,,
single acting control valve,,,单动管制阀 ; 单动开[关]阀,,,,,0,0,,,
single acting cross head type engine,,,[网络] 单作用十字头式发动机；单作用十字头发动机,,,,,0,0,,,
single acting cylinder,,,单作用油缸,,,,,0,0,,,
single acting cylindrical cam,,,un. 单动圆柱偏心轮,,,,,0,0,,,
single acting die,,,单动模,,,,,0,0,,,
single acting dobby,,,[网络] 单提式多臂梭织机,,,,,0,0,,,
single acting engine,,,单动机,,,,,0,0,,,
single acting hammer,,,单动锤,,,,,0,0,,,
single acting hand pump,,,un. 单作用手摇泵\n[网络] 中文名称；英文名称,,,,,0,0,,,
single acting hydraulic shock absorber,,,un. 单向式减震器,,,,,0,0,,,
single acting motion,,,单提式运动；单动式装置,,,,,0,0,,,
single acting oil cylinder,,,[网络] 单作用油缸,,,,,0,0,,,
single acting pile hammer,,,单动式打桩锤,,,,,0,0,,,
single acting piston pump,,,[网络] 单作用式活塞泵,,,,,0,0,,,
single acting plunger oil cylinder,,,单作用柱塞油缸,,,,,0,0,,,
single acting plunger pump,,,[网络] 单作用式柱塞泵,,,,,0,0,,,
single acting pneumatic hammer,,,单作用气动桩锤,,,,,0,0,,,
single acting positioner,,,[网络] 单作用定位器,,,,,0,0,,,
single acting power unit,,,un. 单动执行机构\n[网络] 单作用执行部件,,,,,0,0,,,
single acting press,,,单动冲床,,,,,0,0,,,
single acting pump,,,[化] 单作用泵; 单动泵,,,,,0,0,,,
single acting radical-plunger type oil motor,,,单作用径向柱塞式油马达,,,,,0,0,,,
single acting raising machine,,,单动式起绒机,,,,,0,0,,,
single acting relay,,,un. 单侧作用继动器,,,,,0,0,,,
single acting single piston rod oil cylinder,,,[网络] 单作用活塞杆式油缸；双作用单活塞杆式油缸,,,,,0,0,,,
single acting steam engine,ˈsiŋɡl ˈæktɪŋ sti:m ˈendʒin,, 单动式蒸汽机,,,,,0,0,,,
single acting steam hammer,,,单作用蒸气桩锤,,,,,0,0,,,
single acting trunk piston type engine,,,[网络] 单作用筒形活塞式发动机,,,,,0,0,,,
single acting turbocharged two-stroke engine,,,[网络] 单作用增压式二冲程发动机,,,,,0,0,,,
single acting type,,,[网络] 单动作型；单动型；形式,,,,,0,0,,,
single acting vane pump,,,[网络] 单作用叶片泵,,,,,0,0,,,
single action,,,单动;黑漆单弹簧铰链,,,,,0,0,,,
single action black japanned spring hinge,,,黑漆单弹簧铰链,,,,,0,0,,,
single action compression,,,un. 单向压制；单效压制,,,,,0,0,,,
single action crank press,,,un. 单动偏心式压力机\n[网络] 单动曲柄式压力机,,,,,0,0,,,
single action crankless press,,,[网络] 单动偏心式压力机,,,,,0,0,,,
single action cylinder,,,un. 单作用油缸,,,,,0,0,,,
single action die,,,un. 单动模具,,,,,0,0,,,
single action drawing die,,,un. 单动拉延模,,,,,0,0,,,
single action horizontal extrusion press,,,单动卧式挤压机,,,,,0,0,,,
single action hydraulic press,,,单动液压机,,,,,0,0,,,
single action hydraulic stamping press,,,单动薄板冲压液压机;单动冲压液压机,,,,,0,0,,,
single action line,ˈsiŋɡl ˈækʃən lain,, [计]单向作用线,,,,,0,0,,,
single action press,,,单动压力机;单压头式压力机,,,,,0,0,,,
single action press with drawing cushion,,,un. 单拉延垫的单动压力机,,,,,0,0,,,
single action pressing,,,单向压制,,,,,0,0,,,
single action printer,,,单作用打印机,,,,,0,0,,,
single action process,,,单动作法,,,,,0,0,,,
single action trunk,ˈsiŋɡl ˈækʃən trʌŋk,, [计]单向中继线,,,,,0,0,,,
single active component failure,,,一部件故障,,,,,0,0,,,
single actual word,,,[计] 单个真词,,,,,0,0,,,
single address,,,[计] 单地址,,,,,0,0,,,
single address code,,,单地址码,,,,,0,0,,,
single address computer,,,单地址计算机,,,,,0,0,,,
single address instruction,,,[计] 单地址指令,,,,,0,0,,,
single address instruction format,,,单地址指令形式,,,,,0,0,,,
single address machine,,,单位址机器,,,,,0,0,,,
single address message,,,[计] 单地址信息,,,,,0,0,,,
single address order code,,,单地址指令码,,,,,0,0,,,
single address space,,,[计] 单地址空间,,,,,0,0,,,
single address traffic,ˈsiŋɡl əˈdres ˈtræfik,, [计]单地址通信,,,,,0,0,,,
single addressed telex,,,[网络] 单址电传,,,,,0,0,,,
single addressing space,,,单一编址空间,,,,,0,0,,,
single adjustable switch box,,,单连活络开关箱,,,,,0,0,,,
single administrative document,,,[网络] 欧共体统一单证；单一管理文件；免税报单,,,,,0,0,,,
single admission,,,单向进给;单向入口,,,,,0,0,,,
single adultery,,,[法] 一方未婚的通奸,,,,,0,0,,,
single agency,,,[法] 单独代理,,,,,0,0,,,
single agent approach,,,[计] 单模块法,,,,,0,0,,,
single agitator mixer,,,单搅拌器混合机,,,,,0,0,,,
single agreement,,,简单协议，单一协议,,,,,0,0,,,
